time	V(v+)	I(I1)
0.000000000000000e+000	3.783580e+001	0.000000e+000
3.789782634703443e-001	3.630194e+001	3.789783e+000
5.947985759703443e-001	3.487137e+001	5.947986e+000
7.188220134703443e-001	3.351278e+001	7.188220e+000
7.910876384703443e-001	3.220476e+001	7.910876e+000
8.330798259703443e-001	3.096164e+001	8.330798e+000
8.584704509703443e-001	2.975092e+001	8.584704e+000
8.740954509703443e-001	2.856631e+001	8.740954e+000
8.838610759703443e-001	2.740887e+001	8.838611e+000
8.897204509703443e-001	2.636213e+001	8.897204e+000
8.926501384703443e-001	2.564221e+001	8.926501e+000
8.946032634703443e-001	2.503982e+001	8.946033e+000
8.955798259703443e-001	2.468690e+001	8.955798e+000
8.965563884703443e-001	2.428941e+001	8.965564e+000
8.975329509703443e-001	2.383690e+001	8.975329e+000
8.985095134703443e-001	2.331581e+001	8.985095e+000
8.994860759703443e-001	2.270871e+001	8.994861e+000
9.004626384703443e-001	2.199409e+001	9.004626e+000
9.014392009703443e-001	2.114773e+001	9.014392e+000
9.024157634703443e-001	2.014722e+001	9.024158e+000
9.033923259703443e-001	1.898037e+001	9.033923e+000
9.043688884703443e-001	1.765354e+001	9.043689e+000
9.053454509703443e-001	1.619275e+001	9.053454e+000
9.063220134703443e-001	1.463460e+001	9.063220e+000
9.072985759703443e-001	1.301398e+001	9.072986e+000
9.082751384703443e-001	1.135696e+001	9.082751e+000
9.092517009703443e-001	9.680043e+000	9.092517e+000
9.102282634703443e-001	7.992696e+000	9.102283e+000
9.112048259703443e-001	6.299994e+000	9.112048e+000
9.121813884703443e-001	4.604578e+000	9.121814e+000
9.131579509703443e-001	2.907793e+000	9.131579e+000
9.141345134703443e-001	1.454080e+000	9.141345e+000
9.151110759703443e-001	6.662402e-001	9.145464e+000
9.160876384703443e-001	4.800600e-001	9.145332e+000
9.190173259703443e-001	4.650496e-001	9.145095e+000
9.248767009703443e-001	4.471962e-001	9.145500e+000
9.356188884703443e-001	4.250242e-001	9.145752e+000
9.522204509703443e-001	4.006138e-001	9.145944e+000
9.766345134703443e-001	3.740000e-001	9.146122e+000
9.785876384703443e-001	3.721603e-001	9.146133e+000
9.990954509703443e-001	3.546160e-001	9.146244e+000
1.000000000000000e+000	3.539051e-001	9.146252e+000
