time	V(v+)	I(I1)
0.000000000000000e+000	4.502197e+001	0.000000e+000
1.631579509703443e-001	4.357658e+001	1.631580e+000
2.461657634703443e-001	4.220918e+001	2.461658e+000
2.891345134703443e-001	4.089394e+001	2.891345e+000
3.115954509703443e-001	3.963379e+001	3.115954e+000
3.242907634703443e-001	3.833814e+001	3.242908e+000
3.301501384703443e-001	3.731233e+001	3.301501e+000
3.330798259703443e-001	3.654504e+001	3.330798e+000
3.350329509703443e-001	3.584549e+001	3.350329e+000
3.360095134703443e-001	3.540366e+001	3.360095e+000
3.369860759703443e-001	3.487124e+001	3.369861e+000
3.379626384703443e-001	3.421266e+001	3.379626e+000
3.389392009703443e-001	3.337614e+001	3.389392e+000
3.399157634703443e-001	3.229518e+001	3.399158e+000
3.408923259703443e-001	3.091139e+001	3.408923e+000
3.418688884703443e-001	2.922023e+001	3.418689e+000
3.428454509703443e-001	2.729094e+001	3.428454e+000
3.438220134703443e-001	2.522299e+001	3.438220e+000
3.447985759703443e-001	2.309134e+001	3.447986e+000
3.457751384703443e-001	2.093453e+001	3.457751e+000
3.467517009703443e-001	1.876855e+001	3.467517e+000
3.477282634703443e-001	1.659938e+001	3.477283e+000
3.487048259703443e-001	1.442910e+001	3.487048e+000
3.496813884703443e-001	1.225844e+001	3.496814e+000
3.506579509703443e-001	1.008764e+001	3.506579e+000
3.516345134703443e-001	7.916808e+000	3.516345e+000
3.526110759703443e-001	5.745956e+000	3.526111e+000
3.535876384703443e-001	3.575100e+000	3.535876e+000
3.545642009703443e-001	1.715871e+000	3.545642e+000
3.555407634703443e-001	7.077650e-001	3.549663e+000
3.565173259703443e-001	4.680172e-001	3.549657e+000
3.584704509703443e-001	4.508964e-001	3.549925e+000
3.614001384703443e-001	4.333663e-001	3.549628e+000
3.672595134703443e-001	4.086603e-001	3.549932e+000
3.750720134703443e-001	3.843868e-001	3.550121e+000
3.858142009703443e-001	3.587693e-001	3.550278e+000
4.004626384703443e-001	3.316170e-001	3.550426e+000
4.190173259703443e-001	3.046541e-001	3.550561e+000
4.414782634703443e-001	2.787966e-001	3.550687e+000
4.678454509703443e-001	2.545269e-001	3.550802e+000
4.981188884703443e-001	2.320753e-001	3.550906e+000
5.332751384703443e-001	2.109877e-001	3.551004e+000
5.733142009703443e-001	1.915355e-001	3.551093e+000
6.182360759703443e-001	1.738119e-001	3.551174e+000
6.690173259703443e-001	1.575151e-001	3.551248e+000
7.256579509703443e-001	1.427162e-001	3.551316e+000
7.891345134703443e-001	1.292018e-001	3.551377e+000
8.594470134703443e-001	1.169932e-001	3.551432e+000
9.385485759703443e-001	1.057925e-001	3.551482e+000
9.785876384703443e-001	1.009141e-001	3.551505e+000
9.990954509703443e-001	9.858788e-002	3.551515e+000
1.000000000000000e+000	9.848772e-002	3.551516e+000

