time	V(v+)	I(I1)
0.000000000000000e+000	4.011398e+001	0.000000e+000
3.906970134703443e-001	3.855309e+001	3.906970e+000
6.065173259703443e-001	3.711020e+001	6.065173e+000
7.276110759703443e-001	3.573903e+001	7.276111e+000
7.959704509703443e-001	3.442688e+001	7.959704e+000
8.350329509703443e-001	3.316772e+001	8.350329e+000
8.584704509703443e-001	3.190817e+001	8.584704e+000
8.721423259703443e-001	3.069708e+001	8.721423e+000
8.799548259703443e-001	2.960146e+001	8.799548e+000
8.838610759703443e-001	2.881047e+001	8.838611e+000
8.867907634703443e-001	2.801403e+001	8.867908e+000
8.887438884703443e-001	2.732213e+001	8.887439e+000
8.897204509703443e-001	2.690435e+001	8.897204e+000
8.906970134703443e-001	2.642189e+001	8.906970e+000
8.916735759703443e-001	2.585669e+001	8.916736e+000
8.926501384703443e-001	2.518503e+001	8.926501e+000
8.936267009703443e-001	2.437746e+001	8.936267e+000
8.946032634703443e-001	2.340219e+001	8.946033e+000
8.955798259703443e-001	2.223489e+001	8.955798e+000
8.965563884703443e-001	2.087279e+001	8.965564e+000
8.975329509703443e-001	1.934206e+001	8.975329e+000
8.985095134703443e-001	1.768842e+001	8.985095e+000
8.994860759703443e-001	1.595819e+001	8.994861e+000
9.004626384703443e-001	1.418568e+001	9.004626e+000
9.014392009703443e-001	1.239164e+001	9.014392e+000
9.024157634703443e-001	1.058716e+001	9.024158e+000
9.033923259703443e-001	8.777742e+000	9.033923e+000
9.043688884703443e-001	6.966018e+000	9.043689e+000
9.053454509703443e-001	5.153222e+000	9.053454e+000
9.063220134703443e-001	3.339931e+000	9.063220e+000
9.072985759703443e-001	1.720508e+000	9.072986e+000
9.082751384703443e-001	7.462478e-001	9.078504e+000
9.092517009703443e-001	4.810171e-001	9.078238e+000
9.112048259703443e-001	4.696269e-001	9.077687e+000
9.160876384703443e-001	4.526188e-001	9.078469e+000
9.258532634703443e-001	4.303403e-001	9.078757e+000
9.414782634703443e-001	4.055724e-001	9.078954e+000
9.639392009703443e-001	3.794592e-001	9.079123e+000
9.785876384703443e-001	3.656392e-001	9.079206e+000
9.990954509703443e-001	3.489652e-001	9.079304e+000
1.000000000000000e+000	3.482857e-001	9.079311e+000

