time	V(v+)	I(I1)
0.000000000000000e+000	3.858323e+001	0.000000e+000
7.136107597034425e-002	3.724633e+001	7.136108e-001
1.114001384703443e-001	3.593668e+001	1.114001e+000
1.338610759703443e-001	3.466351e+001	1.338611e+000
1.465563884703443e-001	3.344247e+001	1.465564e+000
1.533923259703443e-001	3.238422e+001	1.533923e+000
1.572985759703443e-001	3.148617e+001	1.572986e+000
1.592517009703443e-001	3.088467e+001	1.592517e+000
1.602282634703443e-001	3.052472e+001	1.602283e+000
1.612048259703443e-001	3.011153e+001	1.612048e+000
1.621813884703443e-001	2.962986e+001	1.621814e+000
1.631579509703443e-001	2.905863e+001	1.631580e+000
1.641345134703443e-001	2.836895e+001	1.641345e+000
1.651110759703443e-001	2.752354e+001	1.651111e+000
1.660876384703443e-001	2.648115e+001	1.660876e+000
1.670642009703443e-001	2.521140e+001	1.670642e+000
1.680407634703443e-001	2.371615e+001	1.680408e+000
1.690173259703443e-001	2.203683e+001	1.690173e+000
1.699938884703443e-001	2.023498e+001	1.699939e+000
1.709704509703443e-001	1.836473e+001	1.709705e+000
1.719470134703443e-001	1.646080e+001	1.719470e+000
1.729235759703443e-001	1.454151e+001	1.729236e+000
1.739001384703443e-001	1.261552e+001	1.739001e+000
1.748767009703443e-001	1.068665e+001	1.748767e+000
1.758532634703443e-001	8.756555e+000	1.758533e+000
1.768298259703443e-001	6.825942e+000	1.768298e+000
1.778063884703443e-001	4.895109e+000	1.778064e+000
1.787829509703443e-001	2.964184e+000	1.787830e+000
1.797595134703443e-001	1.374924e+000	1.797595e+000
1.807360759703443e-001	6.058410e-001	1.800439e+000
1.817126384703443e-001	4.532758e-001	1.800398e+000
1.826892009703443e-001	4.404990e-001	1.800579e+000
1.846423259703443e-001	4.214482e-001	1.800688e+000
1.875720134703443e-001	3.999758e-001	1.800489e+000
1.924548259703443e-001	3.732455e-001	1.800758e+000
1.983142009703443e-001	3.484794e-001	1.800947e+000
2.061267009703443e-001	3.223899e-001	1.801119e+000
2.158923259703443e-001	2.965044e-001	1.801274e+000
2.276110759703443e-001	2.716682e-001	1.801415e+000
2.412829509703443e-001	2.483365e-001	1.801543e+000
2.569079509703443e-001	2.267298e-001	1.801658e+000
2.744860759703443e-001	2.069212e-001	1.801763e+000
2.949938884703443e-001	1.880777e-001	1.801862e+000
3.184313884703443e-001	1.705639e-001	1.801952e+000
3.447985759703443e-001	1.545426e-001	1.802035e+000
3.740954509703443e-001	1.400439e-001	1.802109e+000
4.063220134703443e-001	1.270173e-001	1.802176e+000
4.424548259703443e-001	1.150740e-001	1.802237e+000
4.824938884703443e-001	1.042531e-001	1.802292e+000
5.274157634703443e-001	9.433128e-002	1.802343e+000
5.772204509703443e-001	8.534759e-002	1.802388e+000
6.328845134703443e-001	7.715145e-002	1.802430e+000
6.953845134703443e-001	6.965269e-002	1.802468e+000
7.647204509703443e-001	6.288090e-002	1.802502e+000
8.418688884703443e-001	5.674812e-002	1.802533e+000
9.278063884703443e-001	5.119107e-002	1.802562e+000
9.785876384703443e-001	4.839228e-002	1.802576e+000
9.990954509703443e-001	4.734709e-002	1.802581e+000
1.000000000000000e+000	4.730201e-002	1.802581e+000

