time	V(v+)	I(I1)
0.000000000000000e+000	4.588240e+001	0.000000e+000
2.500720134703443e-001	4.437659e+001	2.500720e+000
3.770251384703443e-001	4.297082e+001	3.770251e+000
4.424548259703443e-001	4.162465e+001	4.424548e+000
4.766345134703443e-001	4.032066e+001	4.766345e+000
4.942126384703443e-001	3.910550e+001	4.942126e+000
5.039782634703443e-001	3.792310e+001	5.039783e+000
5.078845134703443e-001	3.718370e+001	5.078845e+000
5.108142009703443e-001	3.640865e+001	5.108142e+000
5.127673259703443e-001	3.569987e+001	5.127673e+000
5.137438884703443e-001	3.525105e+001	5.137439e+000
5.147204509703443e-001	3.470900e+001	5.147204e+000
5.156970134703443e-001	3.403688e+001	5.156970e+000
5.166735759703443e-001	3.318134e+001	5.166736e+000
5.176501384703443e-001	3.207523e+001	5.176501e+000
5.186267009703443e-001	3.066299e+001	5.186267e+000
5.196032634703443e-001	2.894680e+001	5.196033e+000
5.205798259703443e-001	2.700114e+001	5.205798e+000
5.215563884703443e-001	2.492503e+001	5.215564e+000
5.225329509703443e-001	2.279001e+001	5.225329e+000
5.235095134703443e-001	2.063194e+001	5.235095e+000
5.244860759703443e-001	1.846552e+001	5.244861e+000
5.254626384703443e-001	1.629619e+001	5.254626e+000
5.264392009703443e-001	1.412586e+001	5.264392e+000
5.274157634703443e-001	1.195518e+001	5.274158e+000
5.283923259703443e-001	9.784380e+000	5.283923e+000
5.293688884703443e-001	7.613542e+000	5.293689e+000
5.303454509703443e-001	5.442689e+000	5.303454e+000
5.313220134703443e-001	3.271832e+000	5.313220e+000
5.322985759703443e-001	1.488836e+000	5.322986e+000
5.332751384703443e-001	6.340108e-001	5.325500e+000
5.342517009703443e-001	4.725757e-001	5.325698e+000
5.371813884703443e-001	4.536953e-001	5.325253e+000
5.420642009703443e-001	4.338840e-001	5.325733e+000
5.498767009703443e-001	4.113797e-001	5.325955e+000
5.615954509703443e-001	3.864216e-001	5.326125e+000
5.781970134703443e-001	3.596363e-001	5.326276e+000
5.996813884703443e-001	3.328254e-001	5.326413e+000
6.270251384703443e-001	3.060263e-001	5.326543e+000
6.602282634703443e-001	2.802236e-001	5.326666e+000
6.992907634703443e-001	2.559414e-001	5.326779e+000
7.442126384703443e-001	2.334363e-001	5.326882e+000
7.959704509703443e-001	2.124431e-001	5.326979e+000
8.555407634703443e-001	1.928582e-001	5.327068e+000
9.229235759703443e-001	1.748863e-001	5.327150e+000
9.785876384703443e-001	1.625009e-001	5.327206e+000
9.990954509703443e-001	1.583880e-001	5.327225e+000
1.000000000000000e+000	1.582115e-001	5.327226e+000

