time	V(v+)	I(I1)
0.000000000000000e+000	3.788337e+001	0.000000e+000
1.485095134703443e-001	3.648333e+001	1.485095e+000
2.315173259703443e-001	3.515437e+001	2.315173e+000
2.793688884703443e-001	3.385872e+001	2.793689e+000
3.067126384703443e-001	3.262004e+001	3.067126e+000
3.233142009703443e-001	3.137678e+001	3.233142e+000
3.330798259703443e-001	3.018633e+001	3.330798e+000
3.379626384703443e-001	2.928908e+001	3.379626e+000
3.408923259703443e-001	2.855668e+001	3.408923e+000
3.428454509703443e-001	2.793250e+001	3.428454e+000
3.438220134703443e-001	2.756117e+001	3.438220e+000
3.447985759703443e-001	2.713740e+001	3.447986e+000
3.457751384703443e-001	2.664730e+001	3.457751e+000
3.467517009703443e-001	2.607229e+001	3.467517e+000
3.477282634703443e-001	2.538803e+001	3.477283e+000
3.487048259703443e-001	2.456456e+001	3.487048e+000
3.496813884703443e-001	2.357030e+001	3.496814e+000
3.506579509703443e-001	2.238250e+001	3.506579e+000
3.516345134703443e-001	2.100127e+001	3.516345e+000
3.526110759703443e-001	1.945555e+001	3.526111e+000
3.535876384703443e-001	1.779198e+001	3.535876e+000
3.545642009703443e-001	1.605603e+001	3.545642e+000
3.555407634703443e-001	1.428053e+001	3.555408e+000
3.565173259703443e-001	1.248503e+001	3.565173e+000
3.574938884703443e-001	1.067985e+001	3.574939e+000
3.584704509703443e-001	8.870100e+000	3.584704e+000
3.594470134703443e-001	7.058222e+000	3.594470e+000
3.604235759703443e-001	5.245356e+000	3.604236e+000
3.614001384703443e-001	3.432032e+000	3.614001e+000
3.623767009703443e-001	1.788310e+000	3.623767e+000
3.633532634703443e-001	7.641264e-001	3.629871e+000
3.643298259703443e-001	4.709606e-001	3.629948e+000
3.653063884703443e-001	4.607300e-001	3.629973e+000
3.682360759703443e-001	4.402822e-001	3.629653e+000
3.731188884703443e-001	4.177092e-001	3.630000e+000
3.809313884703443e-001	3.916162e-001	3.630249e+000
3.916735759703443e-001	3.648313e-001	3.630445e+000
4.053454509703443e-001	3.385162e-001	3.630614e+000
4.229235759703443e-001	3.119173e-001	3.630773e+000
4.444079509703443e-001	2.861242e-001	3.630922e+000
4.697985759703443e-001	2.617250e-001	3.631059e+000
4.990954509703443e-001	2.390190e-001	3.631186e+000
5.332751384703443e-001	2.175755e-001	3.631304e+000
5.723376384703443e-001	1.977125e-001	3.631413e+000
6.162829509703443e-001	1.795556e-001	3.631512e+000
6.660876384703443e-001	1.628112e-001	3.631603e+000
7.217517009703443e-001	1.475717e-001	3.631686e+000
7.842517009703443e-001	1.336281e-001	3.631761e+000
8.535876384703443e-001	1.210140e-001	3.631830e+000
9.317126384703443e-001	1.094262e-001	3.631892e+000
9.785876384703443e-001	1.034964e-001	3.631924e+000
9.990954509703443e-001	1.011024e-001	3.631937e+000
1.000000000000000e+000	1.009993e-001	3.631938e+000

