time	V(v+)	I(I1)
0.000000000000000e+000	3.887911e+001	0.000000e+000
2.285876384703443e-001	3.742213e+001	2.285876e+000
3.565173259703443e-001	3.603876e+001	3.565173e+000
4.287829509703443e-001	3.470844e+001	4.287829e+000
4.697985759703443e-001	3.343226e+001	4.697986e+000
4.932360759703443e-001	3.222345e+001	4.932361e+000
5.078845134703443e-001	3.098507e+001	5.078845e+000
5.166735759703443e-001	2.977611e+001	5.166736e+000
5.205798259703443e-001	2.898100e+001	5.205798e+000
5.235095134703443e-001	2.817920e+001	5.235095e+000
5.254626384703443e-001	2.748155e+001	5.254626e+000
5.264392009703443e-001	2.705980e+001	5.264392e+000
5.274157634703443e-001	2.657226e+001	5.274158e+000
5.283923259703443e-001	2.600055e+001	5.283923e+000
5.293688884703443e-001	2.532053e+001	5.293689e+000
5.303454509703443e-001	2.450239e+001	5.303454e+000
5.313220134703443e-001	2.351450e+001	5.313220e+000
5.322985759703443e-001	2.233353e+001	5.322986e+000
5.332751384703443e-001	2.095864e+001	5.332751e+000
5.342517009703443e-001	1.941786e+001	5.342517e+000
5.352282634703443e-001	1.775755e+001	5.352283e+000
5.362048259703443e-001	1.602347e+001	5.362048e+000
5.371813884703443e-001	1.424894e+001	5.371814e+000
5.381579509703443e-001	1.245391e+001	5.381579e+000
5.391345134703443e-001	1.064896e+001	5.391345e+000
5.401110759703443e-001	8.839316e+000	5.401111e+000
5.410876384703443e-001	7.027489e+000	5.410876e+000
5.420642009703443e-001	5.214645e+000	5.420642e+000
5.430407634703443e-001	3.401332e+000	5.430408e+000
5.440173259703443e-001	1.765932e+000	5.440173e+000
5.449938884703443e-001	7.589785e-001	5.446086e+000
5.459704509703443e-001	4.758607e-001	5.445705e+000
5.479235759703443e-001	4.613213e-001	5.446232e+000
5.518298259703443e-001	4.428333e-001	5.445999e+000
5.586657634703443e-001	4.207699e-001	5.446290e+000
5.694079509703443e-001	3.957519e-001	5.446502e+000
5.850329509703443e-001	3.686709e-001	5.446686e+000
6.055407634703443e-001	3.414960e-001	5.446852e+000
6.319079509703443e-001	3.142562e-001	5.447011e+000
6.641345134703443e-001	2.879806e-001	5.447159e+000
7.022204509703443e-001	2.632121e-001	5.447297e+000
7.461657634703443e-001	2.402195e-001	5.447423e+000
7.969470134703443e-001	2.187314e-001	5.447541e+000
8.555407634703443e-001	1.986488e-001	5.447650e+000
9.219470134703443e-001	1.801941e-001	5.447751e+000
9.785876384703443e-001	1.670972e-001	5.447822e+000
9.990954509703443e-001	1.628346e-001	5.447845e+000
1.000000000000000e+000	1.626517e-001	5.447846e+000

