time	V(v+)	I(I1)
0.000000000000000e+000	4.026276e+001	0.000000e+000
1.533923259703443e-001	3.884436e+001	1.533923e+000
2.373767009703443e-001	3.748249e+001	2.373767e+000
2.832751384703443e-001	3.618185e+001	2.832751e+000
3.086657634703443e-001	3.494778e+001	3.086658e+000
3.233142009703443e-001	3.375529e+001	3.233142e+000
3.321032634703443e-001	3.258099e+001	3.321033e+000
3.360095134703443e-001	3.179937e+001	3.360095e+000
3.389392009703443e-001	3.099999e+001	3.389392e+000
3.408923259703443e-001	3.029229e+001	3.408923e+000
3.418688884703443e-001	2.985776e+001	3.418689e+000
3.428454509703443e-001	2.934835e+001	3.428454e+000
3.438220134703443e-001	2.874050e+001	3.438220e+000
3.447985759703443e-001	2.800241e+001	3.447986e+000
3.457751384703443e-001	2.709450e+001	3.457751e+000
3.467517009703443e-001	2.597699e+001	3.467517e+000
3.477282634703443e-001	2.462823e+001	3.477283e+000
3.487048259703443e-001	2.306409e+001	3.487048e+000
3.496813884703443e-001	2.133607e+001	3.496814e+000
3.506579509703443e-001	1.950580e+001	3.506579e+000
3.516345134703443e-001	1.762115e+001	3.516345e+000
3.526110759703443e-001	1.571056e+001	3.526111e+000
3.535876384703443e-001	1.378834e+001	3.535876e+000
3.545642009703443e-001	1.186109e+001	3.545642e+000
3.555407634703443e-001	9.931677e+000	3.555408e+000
3.565173259703443e-001	8.001354e+000	3.565173e+000
3.574938884703443e-001	6.070645e+000	3.574939e+000
3.584704509703443e-001	4.139771e+000	3.584704e+000
3.594470134703443e-001	2.262173e+000	3.594470e+000
3.604235759703443e-001	9.159475e-001	3.603128e+000
3.614001384703443e-001	4.746458e-001	3.603055e+000
3.623767009703443e-001	4.629163e-001	3.603256e+000
3.653063884703443e-001	4.416270e-001	3.602830e+000
3.701892009703443e-001	4.184477e-001	3.603286e+000
3.770251384703443e-001	3.948748e-001	3.603510e+000
3.867907634703443e-001	3.693322e-001	3.603693e+000
4.004626384703443e-001	3.418337e-001	3.603863e+000
4.170642009703443e-001	3.157072e-001	3.604013e+000
4.375720134703443e-001	2.900448e-001	3.604153e+000
4.619860759703443e-001	2.655724e-001	3.604284e+000
4.903063884703443e-001	2.426750e-001	3.604404e+000
5.235095134703443e-001	2.209530e-001	3.604517e+000
5.615954509703443e-001	2.007739e-001	3.604621e+000
6.045642009703443e-001	1.822939e-001	3.604716e+000
6.533923259703443e-001	1.652264e-001	3.604803e+000
7.080798259703443e-001	1.496814e-001	3.604882e+000
7.686267009703443e-001	1.356556e-001	3.604954e+000
8.369860759703443e-001	1.227450e-001	3.605019e+000
9.131579509703443e-001	1.110247e-001	3.605079e+000
9.785876384703443e-001	1.026339e-001	3.605121e+000
9.990954509703443e-001	1.002626e-001	3.605134e+000
1.000000000000000e+000	1.001605e-001	3.605134e+000

