time	V(v+)	I(I1)
0.000000000000000e+000	4.264230e+001	0.000000e+000
1.582751384703443e-001	4.120872e+001	1.582751e+000
2.412829509703443e-001	3.985532e+001	2.412829e+000
2.862048259703443e-001	3.853902e+001	2.862048e+000
3.106188884703443e-001	3.726262e+001	3.106189e+000
3.242907634703443e-001	3.600520e+001	3.242908e+000
3.311267009703443e-001	3.495973e+001	3.311267e+000
3.350329509703443e-001	3.405347e+001	3.350329e+000
3.369860759703443e-001	3.343276e+001	3.369861e+000
3.379626384703443e-001	3.305482e+001	3.379626e+000
3.389392009703443e-001	3.261413e+001	3.389392e+000
3.399157634703443e-001	3.209032e+001	3.399158e+000
3.408923259703443e-001	3.145414e+001	3.408923e+000
3.418688884703443e-001	3.066467e+001	3.418689e+000
3.428454509703443e-001	2.967031e+001	3.428454e+000
3.438220134703443e-001	2.842226e+001	3.438220e+000
3.447985759703443e-001	2.690458e+001	3.447986e+000
3.457751384703443e-001	2.515635e+001	3.457751e+000
3.467517009703443e-001	2.325366e+001	3.467517e+000
3.477282634703443e-001	2.126791e+001	3.477283e+000
3.487048259703443e-001	1.924406e+001	3.487048e+000
3.496813884703443e-001	1.720431e+001	3.496814e+000
3.506579509703443e-001	1.515825e+001	3.506579e+000
3.516345134703443e-001	1.310975e+001	3.516345e+000
3.526110759703443e-001	1.106031e+001	3.526111e+000
3.535876384703443e-001	9.010505e+000	3.535876e+000
3.545642009703443e-001	6.960564e+000	3.545642e+000
3.555407634703443e-001	4.910570e+000	3.555408e+000
3.565173259703443e-001	2.860556e+000	3.565173e+000
3.574938884703443e-001	1.239413e+000	3.574939e+000
3.584704509703443e-001	5.568057e-001	3.576462e+000
3.594470134703443e-001	4.653830e-001	3.576493e+000
3.614001384703443e-001	4.493029e-001	3.576656e+000
3.643298259703443e-001	4.323257e-001	3.576375e+000
3.701892009703443e-001	4.080775e-001	3.576672e+000
3.789782634703443e-001	3.815077e-001	3.576881e+000
3.906970134703443e-001	3.547126e-001	3.577049e+000
4.053454509703443e-001	3.286179e-001	3.577195e+000
4.239001384703443e-001	3.024619e-001	3.577333e+000
4.463610759703443e-001	2.772201e-001	3.577462e+000
4.727282634703443e-001	2.534221e-001	3.577581e+000
5.039782634703443e-001	2.306918e-001	3.577693e+000
5.391345134703443e-001	2.100085e-001	3.577794e+000
5.791735759703443e-001	1.908716e-001	3.577887e+000
6.240954509703443e-001	1.733909e-001	3.577971e+000
6.748767009703443e-001	1.572825e-001	3.578049e+000
7.324938884703443e-001	1.423987e-001	3.578120e+000
7.959704509703443e-001	1.290343e-001	3.578184e+000
8.672595134703443e-001	1.167873e-001	3.578243e+000
9.463610759703443e-001	1.057004e-001	3.578296e+000
9.785876384703443e-001	1.017731e-001	3.578315e+000
9.990954509703443e-001	9.942439e-002	3.578326e+000
1.000000000000000e+000	9.932327e-002	3.578326e+000

