time	V(v+)	I(I1)
0.000000000000000e+000	3.727403e+001	0.000000e+000
2.998767009703443e-001	3.578864e+001	2.998767e+000
4.707751384703443e-001	3.439660e+001	4.707751e+000
5.703845134703443e-001	3.305492e+001	5.703845e+000
6.280017009703443e-001	3.177602e+001	6.280017e+000
6.621813884703443e-001	3.054159e+001	6.621814e+000
6.826892009703443e-001	2.935613e+001	6.826892e+000
6.953845134703443e-001	2.820465e+001	6.953845e+000
7.031970134703443e-001	2.712307e+001	7.031970e+000
7.080798259703443e-001	2.613429e+001	7.080798e+000
7.110095134703443e-001	2.531867e+001	7.110095e+000
7.129626384703443e-001	2.461813e+001	7.129626e+000
7.139392009703443e-001	2.419955e+001	7.139392e+000
7.149157634703443e-001	2.372083e+001	7.149158e+000
7.158923259703443e-001	2.316689e+001	7.158923e+000
7.168688884703443e-001	2.251862e+001	7.168689e+000
7.178454509703443e-001	2.175308e+001	7.178454e+000
7.188220134703443e-001	2.084600e+001	7.188220e+000
7.197985759703443e-001	1.977800e+001	7.197986e+000
7.207751384703443e-001	1.854371e+001	7.207751e+000
7.217517009703443e-001	1.715805e+001	7.217517e+000
7.227282634703443e-001	1.565285e+001	7.227283e+000
7.237048259703443e-001	1.406534e+001	7.237048e+000
7.246813884703443e-001	1.242726e+001	7.246814e+000
7.256579509703443e-001	1.076057e+001	7.256579e+000
7.266345134703443e-001	9.078550e+000	7.266345e+000
7.276110759703443e-001	7.388571e+000	7.276111e+000
7.285876384703443e-001	5.694532e+000	7.285876e+000
7.295642009703443e-001	3.998441e+000	7.295642e+000
7.305407634703443e-001	2.301316e+000	7.305408e+000
7.315173259703443e-001	9.977294e-001	7.315173e+000
7.324938884703443e-001	5.106071e-001	7.315469e+000
7.334704509703443e-001	4.750405e-001	7.315855e+000
7.364001384703443e-001	4.594966e-001	7.315501e+000
7.422595134703443e-001	4.400820e-001	7.315888e+000
7.520251384703443e-001	4.176369e-001	7.316131e+000
7.676501384703443e-001	3.917021e-001	7.316332e+000
7.891345134703443e-001	3.650548e-001	7.316510e+000
8.174548259703443e-001	3.380263e-001	7.316679e+000
8.535876384703443e-001	3.110479e-001	7.316842e+000
8.975329509703443e-001	2.850787e-001	7.316997e+000
9.492907634703443e-001	2.606266e-001	7.317140e+000
9.785876384703443e-001	2.488687e-001	7.317209e+000
9.990954509703443e-001	2.413440e-001	7.317253e+000
1.000000000000000e+000	2.410239e-001	7.317255e+000

