time	V(v+)	I(I1)
0.000000000000000e+000	4.350008e+001	0.000000e+000
7.624388847034425e-002	4.213384e+001	7.624389e-001
1.153063884703443e-001	4.083497e+001	1.153064e+000
1.358142009703443e-001	3.959503e+001	1.358142e+000
1.475329509703443e-001	3.831916e+001	1.475330e+000
1.524157634703443e-001	3.744079e+001	1.524158e+000
1.553454509703443e-001	3.668112e+001	1.553455e+000
1.572985759703443e-001	3.599059e+001	1.572986e+000
1.582751384703443e-001	3.555556e+001	1.582751e+000
1.592517009703443e-001	3.503248e+001	1.592517e+000
1.602282634703443e-001	3.438702e+001	1.602283e+000
1.612048259703443e-001	3.356898e+001	1.612048e+000
1.621813884703443e-001	3.251268e+001	1.621814e+000
1.631579509703443e-001	3.115727e+001	1.631580e+000
1.641345134703443e-001	2.949173e+001	1.641345e+000
1.651110759703443e-001	2.757966e+001	1.651111e+000
1.660876384703443e-001	2.552047e+001	1.660876e+000
1.670642009703443e-001	2.339249e+001	1.670642e+000
1.680407634703443e-001	2.123705e+001	1.680408e+000
1.690173259703443e-001	1.907156e+001	1.690173e+000
1.699938884703443e-001	1.690256e+001	1.699939e+000
1.709704509703443e-001	1.473233e+001	1.709705e+000
1.719470134703443e-001	1.256169e+001	1.719470e+000
1.729235759703443e-001	1.039091e+001	1.729236e+000
1.739001384703443e-001	8.220074e+000	1.739001e+000
1.748767009703443e-001	6.049223e+000	1.748767e+000
1.758532634703443e-001	3.878367e+000	1.758533e+000
1.768298259703443e-001	1.942231e+000	1.768298e+000
1.778063884703443e-001	7.786245e-001	1.773809e+000
1.787829509703443e-001	4.575061e-001	1.773926e+000
1.797595134703443e-001	4.433360e-001	1.773961e+000
1.817126384703443e-001	4.231931e-001	1.774074e+000
1.846423259703443e-001	4.009932e-001	1.773854e+000
1.895251384703443e-001	3.736509e-001	1.774119e+000
1.953845134703443e-001	3.484624e-001	1.774299e+000
2.031970134703443e-001	3.220235e-001	1.774459e+000
2.129626384703443e-001	2.958627e-001	1.774601e+000
2.246813884703443e-001	2.708175e-001	1.774729e+000
2.383532634703443e-001	2.473336e-001	1.774845e+000
2.539782634703443e-001	2.256220e-001	1.774949e+000
2.715563884703443e-001	2.057474e-001	1.775043e+000
2.920642009703443e-001	1.868677e-001	1.775131e+000
3.145251384703443e-001	1.700049e-001	1.775209e+000
3.399157634703443e-001	1.544112e-001	1.775281e+000
3.682360759703443e-001	1.401819e-001	1.775346e+000
4.004626384703443e-001	1.269519e-001	1.775406e+000
4.365954509703443e-001	1.148577e-001	1.775461e+000
4.766345134703443e-001	1.039289e-001	1.775511e+000
5.215563884703443e-001	9.393191e-002	1.775556e+000
5.713610759703443e-001	8.489962e-002	1.775597e+000
6.270251384703443e-001	7.667515e-002	1.775634e+000
6.885485759703443e-001	6.926977e-002	1.775668e+000
7.569079509703443e-001	6.256404e-002	1.775698e+000
8.330798259703443e-001	5.647774e-002	1.775725e+000
9.180407634703443e-001	5.095334e-002	1.775750e+000
9.795642009703443e-001	4.758461e-002	1.775765e+000
9.990954509703443e-001	4.660663e-002	1.775770e+000
1.000000000000000e+000	4.656230e-002	1.775770e+000

