time	V(v+)	I(I1)
0.000000000000000e+000	3.550416e+001	0.000000e+000
1.436267009703443e-001	3.412547e+001	1.436267e+000
2.266345134703443e-001	3.280743e+001	2.266345e+000
2.754626384703443e-001	3.153230e+001	2.754626e+000
3.047595134703443e-001	3.028385e+001	3.047595e+000
3.223376384703443e-001	2.907789e+001	3.223376e+000
3.330798259703443e-001	2.791801e+001	3.330798e+000
3.389392009703443e-001	2.697858e+001	3.389392e+000
3.428454509703443e-001	2.610935e+001	3.428454e+000
3.447985759703443e-001	2.555092e+001	3.447986e+000
3.467517009703443e-001	2.486458e+001	3.467517e+000
3.477282634703443e-001	2.445559e+001	3.477283e+000
3.487048259703443e-001	2.398881e+001	3.487048e+000
3.496813884703443e-001	2.344984e+001	3.496814e+000
3.506579509703443e-001	2.282033e+001	3.506579e+000
3.516345134703443e-001	2.207792e+001	3.516345e+000
3.526110759703443e-001	2.119827e+001	3.526111e+000
3.535876384703443e-001	2.016045e+001	3.535876e+000
3.545642009703443e-001	1.895590e+001	3.545642e+000
3.555407634703443e-001	1.759575e+001	3.555408e+000
3.565173259703443e-001	1.610949e+001	3.565173e+000
3.574938884703443e-001	1.453433e+001	3.574939e+000
3.584704509703443e-001	1.290351e+001	3.584704e+000
3.594470134703443e-001	1.124081e+001	3.594470e+000
3.604235759703443e-001	9.560894e+000	3.604236e+000
3.614001384703443e-001	7.871995e+000	3.614001e+000
3.623767009703443e-001	6.178505e+000	3.623767e+000
3.633532634703443e-001	4.482690e+000	3.633533e+000
3.643298259703443e-001	2.785705e+000	3.643298e+000
3.653063884703443e-001	1.360339e+000	3.653064e+000
3.662829509703443e-001	6.283303e-001	3.656444e+000
3.672595134703443e-001	4.677783e-001	3.656478e+000
3.692126384703443e-001	4.511780e-001	3.656723e+000
3.721423259703443e-001	4.340273e-001	3.656449e+000
3.780017009703443e-001	4.097561e-001	3.656779e+000
3.867907634703443e-001	3.832656e-001	3.657015e+000
3.985095134703443e-001	3.565884e-001	3.657210e+000
4.141345134703443e-001	3.290819e-001	3.657391e+000
4.326892009703443e-001	3.033481e-001	3.657552e+000
4.551501384703443e-001	2.784315e-001	3.657704e+000
4.824938884703443e-001	2.540914e-001	3.657850e+000
5.137438884703443e-001	2.316842e-001	3.657982e+000
5.498767009703443e-001	2.107167e-001	3.658105e+000
5.908923259703443e-001	1.914152e-001	3.658218e+000
6.367907634703443e-001	1.738460e-001	3.658320e+000
6.885485759703443e-001	1.577001e-001	3.658414e+000
7.471423259703443e-001	1.428118e-001	3.658500e+000
8.125720134703443e-001	1.292734e-001	3.658578e+000
8.858142009703443e-001	1.169292e-001	3.658649e+000
9.668688884703443e-001	1.057947e-001	3.658714e+000
9.785876384703443e-001	1.043607e-001	3.658722e+000
9.990954509703443e-001	1.019438e-001	3.658736e+000
1.000000000000000e+000	1.018398e-001	3.658737e+000

