time	V(v+)	I(I1)
0.000000000000000e+000	3.654481e+001	0.000000e+000
2.217517009703443e-001	3.510708e+001	2.217517e+000
3.487048259703443e-001	3.374625e+001	3.487048e+000
4.229235759703443e-001	3.243022e+001	4.229236e+000
4.658923259703443e-001	3.118104e+001	4.658923e+000
4.922595134703443e-001	2.993756e+001	4.922595e+000
5.078845134703443e-001	2.875916e+001	5.078845e+000
5.176501384703443e-001	2.761095e+001	5.176501e+000
5.235095134703443e-001	2.657627e+001	5.235095e+000
5.264392009703443e-001	2.586721e+001	5.264392e+000
5.283923259703443e-001	2.527570e+001	5.283923e+000
5.303454509703443e-001	2.454127e+001	5.303454e+000
5.313220134703443e-001	2.409967e+001	5.313220e+000
5.322985759703443e-001	2.359222e+001	5.322986e+000
5.332751384703443e-001	2.300224e+001	5.332751e+000
5.342517009703443e-001	2.230893e+001	5.342517e+000
5.352282634703443e-001	2.148832e+001	5.352283e+000
5.362048259703443e-001	2.051717e+001	5.362048e+000
5.371813884703443e-001	1.938069e+001	5.371814e+000
5.381579509703443e-001	1.808151e+001	5.381579e+000
5.391345134703443e-001	1.664249e+001	5.391345e+000
5.401110759703443e-001	1.509925e+001	5.401111e+000
5.410876384703443e-001	1.348775e+001	5.410876e+000
5.420642009703443e-001	1.183586e+001	5.420642e+000
5.430407634703443e-001	1.016169e+001	5.430408e+000
5.440173259703443e-001	8.475764e+000	5.440173e+000
5.449938884703443e-001	6.783787e+000	5.449939e+000
5.459704509703443e-001	5.088737e+000	5.459704e+000
5.469470134703443e-001	3.392136e+000	5.469470e+000
5.479235759703443e-001	1.817646e+000	5.479236e+000
5.489001384703443e-001	7.870367e-001	5.486142e+000
5.498767009703443e-001	4.772624e-001	5.486234e+000
5.518298259703443e-001	4.620680e-001	5.486319e+000
5.557360759703443e-001	4.434426e-001	5.486089e+000
5.625720134703443e-001	4.213388e-001	5.486393e+000
5.733142009703443e-001	3.963282e-001	5.486615e+000
5.889392009703443e-001	3.692791e-001	5.486808e+000
6.094470134703443e-001	3.421437e-001	5.486984e+000
6.358142009703443e-001	3.149423e-001	5.487153e+000
6.680407634703443e-001	2.886977e-001	5.487310e+000
7.061267009703443e-001	2.639503e-001	5.487457e+000
7.510485759703443e-001	2.405095e-001	5.487595e+000
8.028063884703443e-001	2.187386e-001	5.487722e+000
8.614001384703443e-001	1.987875e-001	5.487838e+000
9.278063884703443e-001	1.804289e-001	5.487944e+000
9.785876384703443e-001	1.686429e-001	5.488013e+000
9.990954509703443e-001	1.643294e-001	5.488038e+000
1.000000000000000e+000	1.641443e-001	5.488039e+000

