time	V(v+)	I(I1)
0.000000000000000e+000	3.612560e+001	0.000000e+000
6.940795097034425e-002	3.479639e+001	6.940795e-001
1.084704509703443e-001	3.353496e+001	1.084705e+000
1.319079509703443e-001	3.227162e+001	1.319080e+000
1.455798259703443e-001	3.105460e+001	1.455798e+000
1.533923259703443e-001	2.995071e+001	1.533923e+000
1.572985759703443e-001	2.915144e+001	1.572986e+000
1.602282634703443e-001	2.834422e+001	1.602283e+000
1.621813884703443e-001	2.764073e+001	1.621814e+000
1.631579509703443e-001	2.721493e+001	1.631580e+000
1.641345134703443e-001	2.672224e+001	1.641345e+000
1.651110759703443e-001	2.614391e+001	1.651111e+000
1.660876384703443e-001	2.545537e+001	1.660876e+000
1.670642009703443e-001	2.462652e+001	1.670642e+000
1.680407634703443e-001	2.362588e+001	1.680408e+000
1.690173259703443e-001	2.243123e+001	1.690173e+000
1.699938884703443e-001	2.104370e+001	1.699939e+000
1.709704509703443e-001	1.949309e+001	1.709705e+000
1.719470134703443e-001	1.782633e+001	1.719470e+000
1.729235759703443e-001	1.608855e+001	1.729236e+000
1.739001384703443e-001	1.431210e+001	1.739001e+000
1.748767009703443e-001	1.251613e+001	1.748767e+000
1.758532634703443e-001	1.071073e+001	1.758533e+000
1.768298259703443e-001	8.900880e+000	1.768298e+000
1.778063884703443e-001	7.088955e+000	1.778064e+000
1.787829509703443e-001	5.276066e+000	1.787830e+000
1.797595134703443e-001	3.462732e+000	1.797595e+000
1.807360759703443e-001	1.809807e+000	1.807361e+000
1.817126384703443e-001	7.657245e-001	1.813618e+000
1.826892009703443e-001	4.593820e-001	1.813772e+000
1.836657634703443e-001	4.449384e-001	1.813818e+000
1.856188884703443e-001	4.248397e-001	1.813952e+000
1.885485759703443e-001	4.025810e-001	1.813751e+000
1.934313884703443e-001	3.753769e-001	1.814039e+000
1.992907634703443e-001	3.503229e-001	1.814241e+000
2.071032634703443e-001	3.240191e-001	1.814424e+000
2.168688884703443e-001	2.979733e-001	1.814589e+000
2.285876384703443e-001	2.730121e-001	1.814739e+000
2.422595134703443e-001	2.495781e-001	1.814875e+000
2.578845134703443e-001	2.278837e-001	1.814998e+000
2.754626384703443e-001	2.079972e-001	1.815110e+000
2.959704509703443e-001	1.890797e-001	1.815215e+000
3.194079509703443e-001	1.714958e-001	1.815312e+000
3.457751384703443e-001	1.554082e-001	1.815400e+000
3.750720134703443e-001	1.408472e-001	1.815480e+000
4.072985759703443e-001	1.277621e-001	1.815551e+000
4.434313884703443e-001	1.157631e-001	1.815616e+000
4.834704509703443e-001	1.048897e-001	1.815675e+000
5.283923259703443e-001	9.491773e-002	1.815729e+000
5.781970134703443e-001	8.588706e-002	1.815778e+000
6.338610759703443e-001	7.764662e-002	1.815822e+000
6.963610759703443e-001	7.010608e-002	1.815863e+000
7.656970134703443e-001	6.329548e-002	1.815900e+000
8.428454509703443e-001	5.712667e-002	1.815933e+000
9.287829509703443e-001	5.153619e-002	1.815963e+000
9.785876384703443e-001	4.877152e-002	1.815978e+000
9.990954509703443e-001	4.771770e-002	1.815984e+000
1.000000000000000e+000	4.767225e-002	1.815984e+000

