time	V(v+)	I(I1)
0.000000000000000e+000	4.354789e+001	0.000000e+000
2.432360759703443e-001	4.205262e+001	2.432361e+000
3.711657634703443e-001	4.064320e+001	3.711658e+000
4.385485759703443e-001	3.930433e+001	4.385486e+000
4.746813884703443e-001	3.802119e+001	4.746814e+000
4.951892009703443e-001	3.672638e+001	4.951892e+000
5.059313884703443e-001	3.554978e+001	5.059314e+000
5.117907634703443e-001	3.450833e+001	5.117908e+000
5.147204509703443e-001	3.374501e+001	5.147204e+000
5.166735759703443e-001	3.306447e+001	5.166736e+000
5.176501384703443e-001	3.264344e+001	5.176501e+000
5.186267009703443e-001	3.214587e+001	5.186267e+000
5.196032634703443e-001	3.154536e+001	5.196033e+000
5.205798259703443e-001	3.080451e+001	5.205798e+000
5.215563884703443e-001	2.987413e+001	5.215564e+000
5.225329509703443e-001	2.870214e+001	5.225329e+000
5.235095134703443e-001	2.725984e+001	5.235095e+000
5.244860759703443e-001	2.557045e+001	5.244861e+000
5.254626384703443e-001	2.370364e+001	5.254626e+000
5.264392009703443e-001	2.173577e+001	5.264392e+000
5.274157634703443e-001	1.971972e+001	5.274158e+000
5.283923259703443e-001	1.768314e+001	5.283923e+000
5.293688884703443e-001	1.563833e+001	5.293689e+000
5.303454509703443e-001	1.359031e+001	5.303454e+000
5.313220134703443e-001	1.154105e+001	5.313220e+000
5.322985759703443e-001	9.491315e+000	5.322986e+000
5.332751384703443e-001	7.441401e+000	5.332751e+000
5.342517009703443e-001	5.391418e+000	5.342517e+000
5.352282634703443e-001	3.341408e+000	5.352283e+000
5.362048259703443e-001	1.601781e+000	5.362048e+000
5.371813884703443e-001	6.825440e-001	5.365557e+000
5.381579509703443e-001	4.736151e-001	5.365789e+000
5.401110759703443e-001	4.598046e-001	5.366004e+000
5.440173259703443e-001	4.415879e-001	5.365767e+000
5.508532634703443e-001	4.196067e-001	5.366037e+000
5.615954509703443e-001	3.945752e-001	5.366231e+000
5.772204509703443e-001	3.674313e-001	5.366398e+000
5.977282634703443e-001	3.401781e-001	5.366548e+000
6.231188884703443e-001	3.137639e-001	5.366685e+000
6.543688884703443e-001	2.879583e-001	5.366815e+000
6.914782634703443e-001	2.634389e-001	5.366936e+000
7.354235759703443e-001	2.400920e-001	5.367050e+000
7.862048259703443e-001	2.183385e-001	5.367156e+000
8.438220134703443e-001	1.983649e-001	5.367252e+000
9.092517009703443e-001	1.799623e-001	5.367341e+000
9.785876384703443e-001	1.640262e-001	5.367417e+000
9.990954509703443e-001	1.598640e-001	5.367437e+000
1.000000000000000e+000	1.596854e-001	5.367438e+000

