time	V(v+)	I(I1)
0.000000000000000e+000	4.121347e+001	0.000000e+000
2.364001384703443e-001	3.973179e+001	2.364001e+000
3.643298259703443e-001	3.833286e+001	3.643298e+000
4.336657634703443e-001	3.700773e+001	4.336658e+000
4.727282634703443e-001	3.571038e+001	4.727283e+000
4.942126384703443e-001	3.448982e+001	4.942126e+000
5.069079509703443e-001	3.328430e+001	5.069079e+000
5.137438884703443e-001	3.224685e+001	5.137439e+000
5.176501384703443e-001	3.137370e+001	5.176501e+000
5.196032634703443e-001	3.079335e+001	5.196033e+000
5.205798259703443e-001	3.044794e+001	5.205798e+000
5.215563884703443e-001	3.005319e+001	5.215564e+000
5.225329509703443e-001	2.959539e+001	5.225329e+000
5.235095134703443e-001	2.905552e+001	5.235095e+000
5.244860759703443e-001	2.840738e+001	5.244861e+000
5.254626384703443e-001	2.761624e+001	5.254626e+000
5.264392009703443e-001	2.664106e+001	5.264392e+000
5.274157634703443e-001	2.544572e+001	5.274158e+000
5.283923259703443e-001	2.401979e+001	5.283923e+000
5.293688884703443e-001	2.239297e+001	5.293689e+000
5.303454509703443e-001	2.062362e+001	5.303454e+000
5.313220134703443e-001	1.877050e+001	5.313220e+000
5.322985759703443e-001	1.687469e+001	5.322986e+000
5.332751384703443e-001	1.495904e+001	5.332751e+000
5.342517009703443e-001	1.303462e+001	5.342517e+000
5.352282634703443e-001	1.110641e+001	5.352283e+000
5.362048259703443e-001	9.176604e+000	5.362048e+000
5.371813884703443e-001	7.246111e+000	5.371814e+000
5.381579509703443e-001	5.315331e+000	5.381579e+000
5.391345134703443e-001	3.384427e+000	5.391345e+000
5.401110759703443e-001	1.694095e+000	5.401111e+000
5.410876384703443e-001	7.243170e-001	5.406000e+000
5.420642009703443e-001	4.747869e-001	5.405771e+000
5.440173259703443e-001	4.605656e-001	5.406126e+000
5.479235759703443e-001	4.422147e-001	5.405890e+000
5.547595134703443e-001	4.201923e-001	5.406171e+000
5.655017009703443e-001	3.951674e-001	5.406374e+000
5.811267009703443e-001	3.680549e-001	5.406549e+000
6.016345134703443e-001	3.408407e-001	5.406706e+000
6.270251384703443e-001	3.144634e-001	5.406850e+000
6.582751384703443e-001	2.886881e-001	5.406988e+000
6.953845134703443e-001	2.641895e-001	5.407116e+000
7.393298259703443e-001	2.408529e-001	5.407237e+000
7.901110759703443e-001	2.190993e-001	5.407349e+000
8.477282634703443e-001	1.991164e-001	5.407451e+000
9.131579509703443e-001	1.806965e-001	5.407546e+000
9.785876384703443e-001	1.655583e-001	5.407622e+000
9.990954509703443e-001	1.613462e-001	5.407644e+000
1.000000000000000e+000	1.611654e-001	5.407645e+000

