time	V(v+)	I(I1)
0.000000000000000e+000	4.104141e+001	0.000000e+000
7.331420097034425e-002	3.970019e+001	7.331420e-001
1.133532634703443e-001	3.838388e+001	1.133533e+000
1.348376384703443e-001	3.712811e+001	1.348376e+000
1.465563884703443e-001	3.594926e+001	1.465564e+000
1.524157634703443e-001	3.500916e+001	1.524158e+000
1.553454509703443e-001	3.434623e+001	1.553455e+000
1.572985759703443e-001	3.377637e+001	1.572986e+000
1.582751384703443e-001	3.343426e+001	1.582751e+000
1.592517009703443e-001	3.304010e+001	1.592517e+000
1.602282634703443e-001	3.257811e+001	1.602283e+000
1.612048259703443e-001	3.202570e+001	1.612048e+000
1.621813884703443e-001	3.135052e+001	1.621814e+000
1.631579509703443e-001	3.050817e+001	1.631580e+000
1.641345134703443e-001	2.944565e+001	1.641345e+000
1.651110759703443e-001	2.812007e+001	1.651111e+000
1.660876384703443e-001	2.653031e+001	1.660876e+000
1.670642009703443e-001	2.472974e+001	1.670642e+000
1.680407634703443e-001	2.279712e+001	1.680408e+000
1.690173259703443e-001	2.079710e+001	1.690173e+000
1.699938884703443e-001	1.876717e+001	1.699939e+000
1.709704509703443e-001	1.672499e+001	1.709705e+000
1.719470134703443e-001	1.467799e+001	1.719470e+000
1.729235759703443e-001	1.262912e+001	1.729236e+000
1.739001384703443e-001	1.057954e+001	1.739001e+000
1.748767009703443e-001	8.529684e+000	1.748767e+000
1.758532634703443e-001	6.479722e+000	1.758533e+000
1.768298259703443e-001	4.429721e+000	1.768298e+000
1.778063884703443e-001	2.419603e+000	1.778064e+000
1.787829509703443e-001	9.550586e-001	1.787008e+000
1.797595134703443e-001	4.651081e-001	1.787196e+000
1.807360759703443e-001	4.480875e-001	1.787215e+000
1.826892009703443e-001	4.267464e-001	1.787365e+000
1.856188884703443e-001	4.036789e-001	1.787141e+000
1.895251384703443e-001	3.807808e-001	1.787381e+000
1.953845134703443e-001	3.541834e-001	1.787589e+000
2.031970134703443e-001	3.266852e-001	1.787767e+000
2.119860759703443e-001	3.021550e-001	1.787909e+000
2.227282634703443e-001	2.779671e-001	1.788040e+000
2.354235759703443e-001	2.548278e-001	1.788162e+000
2.500720134703443e-001	2.331254e-001	1.788272e+000
2.676501384703443e-001	2.119827e-001	1.788378e+000
2.871813884703443e-001	1.929058e-001	1.788472e+000
3.096423259703443e-001	1.750481e-001	1.788560e+000
3.350329509703443e-001	1.586325e-001	1.788640e+000
3.633532634703443e-001	1.437281e-001	1.788712e+000
3.946032634703443e-001	1.303082e-001	1.788777e+000
4.297595134703443e-001	1.179799e-001	1.788836e+000
4.688220134703443e-001	1.067991e-001	1.788890e+000
5.127673259703443e-001	9.653998e-002	1.788939e+000
5.615954509703443e-001	8.725139e-002	1.788984e+000
6.153063884703443e-001	7.891619e-002	1.789024e+000
6.758532634703443e-001	7.125521e-002	1.789060e+000
7.432360759703443e-001	6.431575e-002	1.789093e+000
8.174548259703443e-001	5.809086e-002	1.789123e+000
9.004626384703443e-001	5.242108e-002	1.789150e+000
9.785876384703443e-001	4.801330e-002	1.789171e+000
9.990954509703443e-001	4.697673e-002	1.789176e+000
1.000000000000000e+000	4.693202e-002	1.789176e+000

