time	V(v+)	I(I1)
0.000000000000000e+000	4.187933e+001	0.000000e+000
3.194079509703443e-001	4.034389e+001	3.194079e+000
4.912829509703443e-001	3.891513e+001	4.912829e+000
5.850329509703443e-001	3.755347e+001	5.850329e+000
6.367907634703443e-001	3.624063e+001	6.367908e+000
6.660876384703443e-001	3.494934e+001	6.660876e+000
6.826892009703443e-001	3.369078e+001	6.826892e+000
6.914782634703443e-001	3.259584e+001	6.914783e+000
6.963610759703443e-001	3.167455e+001	6.963611e+000
6.992907634703443e-001	3.090071e+001	6.992908e+000
7.012438884703443e-001	3.022127e+001	7.012439e+000
7.022204509703443e-001	2.980684e+001	7.022204e+000
7.031970134703443e-001	2.932358e+001	7.031970e+000
7.041735759703443e-001	2.875023e+001	7.041736e+000
7.051501384703443e-001	2.805777e+001	7.051501e+000
7.061267009703443e-001	2.720874e+001	7.061267e+000
7.071032634703443e-001	2.616192e+001	7.071033e+000
7.080798259703443e-001	2.488740e+001	7.080798e+000
7.090563884703443e-001	2.338785e+001	7.090564e+000
7.100329509703443e-001	2.170539e+001	7.100329e+000
7.110095134703443e-001	1.990165e+001	7.110095e+000
7.119860759703443e-001	1.803043e+001	7.119861e+000
7.129626384703443e-001	1.612604e+001	7.129626e+000
7.139392009703443e-001	1.420656e+001	7.139392e+000
7.149157634703443e-001	1.228048e+001	7.149158e+000
7.158923259703443e-001	1.035157e+001	7.158923e+000
7.168688884703443e-001	8.421457e+000	7.168689e+000
7.178454509703443e-001	6.490837e+000	7.178454e+000
7.188220134703443e-001	4.560002e+000	7.188220e+000
7.197985759703443e-001	2.629076e+000	7.197986e+000
7.207751384703443e-001	1.126893e+000	7.207751e+000
7.217517009703443e-001	5.343385e-001	7.208429e+000
7.227282634703443e-001	4.751305e-001	7.208814e+000
7.256579509703443e-001	4.593562e-001	7.208453e+000
7.315173259703443e-001	4.397471e-001	7.208831e+000
7.412829509703443e-001	4.171136e-001	7.209059e+000
7.559313884703443e-001	3.924057e-001	7.209235e+000
7.774157634703443e-001	3.652385e-001	7.209398e+000
8.057360759703443e-001	3.378120e-001	7.209551e+000
8.408923259703443e-001	3.111796e-001	7.209693e+000
8.838610759703443e-001	2.853612e-001	7.209829e+000
9.346423259703443e-001	2.609467e-001	7.209956e+000
9.785876384703443e-001	2.434758e-001	7.210046e+000
9.990954509703443e-001	2.362111e-001	7.210083e+000
1.000000000000000e+000	2.359018e-001	7.210085e+000

