time	V(v+)	I(I1)
0.000000000000000e+000	4.239217e+001	0.000000e+000
4.033923259703443e-001	4.080145e+001	4.033923e+000
6.192126384703443e-001	3.934177e+001	6.192126e+000
7.364001384703443e-001	3.796206e+001	7.364001e+000
8.008532634703443e-001	3.663785e+001	8.008533e+000
8.369860759703443e-001	3.534842e+001	8.369861e+000
8.574938884703443e-001	3.408939e+001	8.574939e+000
8.692126384703443e-001	3.287554e+001	8.692126e+000
8.750720134703443e-001	3.192105e+001	8.750720e+000
8.780017009703443e-001	3.125855e+001	8.780017e+000
8.799548259703443e-001	3.069804e+001	8.799548e+000
8.819079509703443e-001	2.998845e+001	8.819079e+000
8.828845134703443e-001	2.955258e+001	8.828845e+000
8.838610759703443e-001	2.904141e+001	8.838611e+000
8.848376384703443e-001	2.843125e+001	8.848376e+000
8.858142009703443e-001	2.769010e+001	8.858142e+000
8.867907634703443e-001	2.677827e+001	8.867908e+000
8.877673259703443e-001	2.565614e+001	8.877673e+000
8.887438884703443e-001	2.430266e+001	8.887439e+000
8.897204509703443e-001	2.273456e+001	8.897204e+000
8.906970134703443e-001	2.100385e+001	8.906970e+000
8.916735759703443e-001	1.917205e+001	8.916736e+000
8.926501384703443e-001	1.728666e+001	8.926501e+000
8.936267009703443e-001	1.537572e+001	8.936267e+000
8.946032634703443e-001	1.345335e+001	8.946033e+000
8.955798259703443e-001	1.152602e+001	8.955798e+000
8.965563884703443e-001	9.596588e+000	8.965564e+000
8.975329509703443e-001	7.666254e+000	8.975329e+000
8.985095134703443e-001	5.735539e+000	8.985095e+000
8.994860759703443e-001	3.804664e+000	8.994861e+000
9.004626384703443e-001	2.010792e+000	9.004626e+000
9.014392009703443e-001	8.342973e-001	9.011495e+000
9.024157634703443e-001	4.822493e-001	9.011657e+000
9.043688884703443e-001	4.703716e-001	9.011716e+000
9.092517009703443e-001	4.528477e-001	9.011508e+000
9.180407634703443e-001	4.322492e-001	9.011777e+000
9.326892009703443e-001	4.081292e-001	9.011967e+000
9.541735759703443e-001	3.822061e-001	9.012129e+000
9.785876384703443e-001	3.594184e-001	9.012259e+000
9.990954509703443e-001	3.435166e-001	9.012345e+000
1.000000000000000e+000	3.428656e-001	9.012352e+000

